"group","year","GDP"
"advanced",2010,1
"advanced",2011,1.016117574296508
"advanced",2012,1.0280655982963565
"advanced",2013,1.042081067759118
"advanced",2014,1.0625296986741237
"advanced",2015,1.0870060501177394
"advanced",2016,1.1061727956296556
"advanced",2017,1.1326760351416785
"advanced",2018,1.1584214480145887
"advanced",2019,1.1788665427365832
"advanced",2020,1.127288835590626
"advanced",2021,1.1852949968402606
"advanced",2022,1.2136759885752832
"china_prc",2010,1
"china_prc",2011,1.0943841482009324
"china_prc",2012,1.1782074821904558
"china_prc",2013,1.268322865360375
"china_prc",2014,1.3597938819049706
"china_prc",2015,1.4514772981664588
"china_prc",2016,1.5485737101775463
"china_prc",2017,1.654978565499664
"china_prc",2018,1.764964075740058
"china_prc",2019,1.8659165892398257
"china_prc",2020,1.8996161062489207
"china_prc",2021,2.052681527473008
"china_prc",2022,2.1158992934805014
"em_exchina",2010,1
"em_exchina",2011,1.0496253851919586
"em_exchina",2012,1.0921011524653188
"em_exchina",2013,1.1325543266770128
"em_exchina",2014,1.1694483277708023
"em_exchina",2015,1.2013907285767575
"em_exchina",2016,1.2366403446375662
"em_exchina",2017,1.2814229203736152
"em_exchina",2018,1.3259525334223923
"em_exchina",2019,1.358151537915937
"em_exchina",2020,1.3028768673072246
"em_exchina",2021,1.3776423971691303
"em_exchina",2022,1.4312094365614607
